LOT ID :,S
RECEIPE :,"AB,¨ÌSLOT¥]?¡ô"
STARTTIME :,2018-01-07 11:10:28
ENDTIME :,2018-01-07 11:10:36
COUNT :,3
Port-A,8(T),START,END,Port-B,,,,Port-C,8(L),START,END
25,"","","",25,"","","",25,"","",""
24,"","","",24,"","","",24,"","",""
23,"","","",23,"","","",23,"","",""
22,"","","",22,"","","",22,"","",""
21,"","","",21,"","","",21,"","",""
20,"","","",20,"","","",20,"","",""
19,"","","",19,"","","",19,"","",""
18,"","","",18,"","","",18,"","",""
17,"","","",17,"","","",17,"","",""
16,"","","",16,"","","",16,"","",""
15,"","","",15,"","","",15,"","",""
14,"","","",14,"","","",14,"","",""
13,"","","",13,"","","",13,"","",""
12,"","","",12,"","","",12,"","",""
11,"","","",11,"","","",11,"","",""
10,"","","",10,"","","",10,"","",""
09,"","","",09,"","","",09,"","",""
08,"","","",08,"","","",08,"","",""
07,"","","",07,"","","",07,"","",""
06,"","","",06,"","","",06,"","",""
05,"","","",05,"","","",05,"","",""
04,"","","",04,"","","",04,"","",""
03,"","","",03,"","","",03,"WAFER EXIST","2018-01-07 11:10:33","2018-01-07 11:10:35"
02,"","","",02,"","","",02,"WAFER EXIST","2018-01-07 11:10:30","2018-01-07 11:10:32"
01,"","","",01,"","","",01,"WAFER EXIST","2018-01-07 11:10:28","2018-01-07 11:10:30"
