LOT ID :,MM
RECEIPE :,"AB,¨ÌSLOT¸Ñ¥]?¡ô"
STARTTIME :,2018-02-03 22:14:56
ENDTIME :,2018-02-03 22:15:00
COUNT :,0
Port-A,6(T),START,END,Port-B,,,,Port-C,6(L),START,END
25,"","","",25,"","","",25,"","",""
24,"","","",24,"","","",24,"","",""
23,"","","",23,"","","",23,"","",""
22,"","","",22,"","","",22,"","",""
21,"","","",21,"","","",21,"","",""
20,"","","",20,"","","",20,"","",""
19,"","","",19,"","","",19,"","",""
18,"","","",18,"","","",18,"","",""
17,"","","",17,"","","",17,"","",""
16,"","","",16,"","","",16,"","",""
15,"","","",15,"","","",15,"","",""
14,"","","",14,"","","",14,"","",""
13,"","","",13,"","","",13,"","",""
12,"","","",12,"","","",12,"","",""
11,"","","",11,"","","",11,"","",""
10,"","","",10,"","","",10,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
09,"","","",09,"","","",09,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
08,"","","",08,"","","",08,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
07,"","","",07,"","","",07,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
06,"","","",06,"","","",06,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
05,"","","",05,"","","",05,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
04,"","","",04,"","","",04,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
03,"WAFER EXIST","2018-02-03 22:14:33","2018-02-03 22:14:33",03,"","","",03,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
02,"","","",02,"","","",02,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
01,"","","",01,"","","",01,"WAFER EXIST","2018-02-03 22:14:48","2018-02-03 22:14:48"
